officialSet,officialCardNumber,name,type,status,risk,ruleId,reason,officialUrl,officialImageUrl,imageStatus,imageAudit,text
"BP01","BP01-082/100","登頂成功","memoria","近似対応","medium","signal_6","実装済みサブ処理の組み合わせだが全文一致では未検証 / 正規イラスト表示UI確認済み","https://xross-stars.com/card/1-082","https://assets.xross-stars.com/card/BP01/BP01-082_dd783cd265632a2175e45cd40b28495b.png","ready","ready","【プレイ時】自分のリーダーが3体ダウンしているなら、カードを1枚引く。 / 【アタック強化】次のアタックのダメージ+40。"
"BP01","BP01-094/100","復活ポータル","tactics","近似対応","medium","revive_select+play_restriction_only","復帰対象選択を簡略化 / プレイ条件のみ実装・細部要検証 / 正規イラスト表示UI確認済み","https://xross-stars.com/card/1-094","https://assets.xross-stars.com/card/BP01/BP01-094_44cffe6b4bd3c703a485fd598924cf7c.png","ready","ready","このカードは、対戦相手よりダウンしているリーダーが多いなら、プレイできる。 / 【プレイ時】ダウンしている自分のリーダー1体を、ダウンしていない状態に戻す。そのリーダーが装備しているカードすべてを表向きにトラッシュに置く。"
"BP01","BP01-097/100","PPチケット","tactics","近似対応","medium","signal_4","実装済みサブ処理の組み合わせだが全文一致では未検証 / 正規イラスト表示UI確認済み","https://xross-stars.com/card/1-097","https://assets.xross-stars.com/card/BP01/BP01-097_987c52aacb4106ed34b2a4b8676a2a8f.png","ready","ready","このカードをタクティクスデッキに入れることはできない。 / 1ラウンド目のタクティクスカードを選択した後、後攻のプレイヤーはこのカードをタクティクスエリアに置く。 / 【プレイ時】PPを1回復する。"
"BP01","BP01-133/100","一騎当千","attack","近似対応","medium","ordered_play+variable_count","順序選択を簡略化 / 選択枚数を自動化 / 正規イラスト表示UI確認済み","https://xross-stars.com/card/1-133","https://assets.xross-stars.com/card/BP01/BP01-133_ce4065b352b14fbe952519ab8023031a.png","ready","ready","【アタックする】 / 【アタック後】自分の手札のエース以外のメモリアカードを、コストの合計が3以下になるように好きな枚数公開する。公開したカードを、コストを支払わず好きな順番でプレイする。（プレイしたカードは、このカードの右側に置く。それらの効果は、このアタックが終わってから左から順番に実行する。）"
"BP01","BP01-136/100","リンク・アサルト","attack","近似対応","medium","search_select","探索・選択処理を簡略化 / 正規イラスト表示UI確認済み","https://xross-stars.com/card/1-136","https://assets.xross-stars.com/card/BP01/BP01-136_ae99d521158ab162a2f3f5f928c6e29d.png","ready","ready","【アタックする】 / 【アタック後】自分のデッキの上から3枚を見る。その中からコスト1以下のメモリアカード1枚を、コストを支払わずにプレイしてもよい。残りのカードをトラッシュに置く。（プレイしたカードの効果は、このアタックが終わってから実行する。）"
"BP01","BP01-137/100","超新星","memoria","近似対応","medium","signal_5+signal_6","実装済みサブ処理の組み合わせだが全文一致では未検証 / 正規イラスト表示UI確認済み","https://xross-stars.com/card/1-137","https://assets.xross-stars.com/card/BP01/BP01-137_f3780805be81f9d7a028e6a36d90f131.png","ready","ready","【アタック強化】次のアタックのダメージ+30。 / 【アタック後】このアタックを受けたリーダーがダウンしているなら、PPを2回復し、カードを1枚引く。"
"BP02","BP02-017/082","ビクトリーランページ","attack","近似対応","medium","signal_1","実装済みサブ処理の組み合わせだが全文一致では未検証 / 正規イラスト表示UI確認済み","https://xross-stars.com/card/5-017","https://assets.xross-stars.com/card/BP02/BP02-017_1759dede23fc4004e07a25e17e52e6d1.png","ready","ready","【アタックする】 / 【アタック後】オーバーキル40：対戦相手の他のリーダー1体に90ダメージ。（このアタックを受けたリーダーに、そのリーダーの残り体力よりも40以上大きいダメージを与えていたなら、対戦相手の他のリーダー1体に90ダメージ。）"
"BP02","BP02-020/082","猪突猛進","attack","近似対応","medium","signal_1+signal_7","実装済みサブ処理の組み合わせだが全文一致では未検証 / 正規イラスト表示UI確認済み","https://xross-stars.com/card/5-020","https://assets.xross-stars.com/card/BP02/BP02-020_07ed7d5490fa9b409471c75532e54f3a.png","ready","ready","【アタックする】 / 【アタック後】オーバーキル30：カードを2枚引く。（このアタックを受けたリーダーに、そのリーダーの残り体力よりも30以上大きいダメージを与えていたなら、カードを2枚引く。）"
"BP02","BP02-024/082","三銃士","attack","近似対応","medium","replay_select","再プレイ対象選択を簡略化 / 正規イラスト表示UI確認済み","https://xross-stars.com/card/5-024","https://assets.xross-stars.com/card/BP02/BP02-024_72defceec6094b77c74e5340047f6c53.png","ready","ready","【アタックする】 / 【アタック後】プレイエリアのエース以外のコスト0のメモリアカードを最大2枚選び、プレイし直す。（選んだカードを、このカードの右側に置く。プレイしたカードの効果は、このアタックが終わってから左から順番に実行する。）"
"BP02","BP02-025/082","ヘンディーブロー","attack","近似対応","medium","signal_1","実装済みサブ処理の組み合わせだが全文一致では未検証 / 正規イラスト表示UI確認済み","https://xross-stars.com/card/5-025","https://assets.xross-stars.com/card/BP02/BP02-025_08f5fc4b95332a86986d840610570e47.png","ready","ready","【アタックする】 / 【アタック後】オーバーキル20：自分のリーダー1体を30回復する。（このアタックを受けたリーダーに、そのリーダーの残り体力よりも20以上大きいダメージを与えていたなら、自分のリーダー1体を30回復する。）"
"BP02","BP02-035/082","デッドリーキャンプ","attack","近似対応","medium","signal_1+signal_4","実装済みサブ処理の組み合わせだが全文一致では未検証 / 正規イラスト表示UI確認済み","https://xross-stars.com/card/5-035","https://assets.xross-stars.com/card/BP02/BP02-035_210ad073f3106d175982c5aeae6eb47e.png","ready","ready","【アタックする】 / 【アタック後】オーバーキル20：PPを1回復する。（このアタックを受けたリーダーに、そのリーダーの残り体力よりも20以上大きいダメージを与えていたなら、PPを1回復する。）"
"BP02","BP02-039/082","ポイズンボム","attack","近似対応","medium","signal_21","実装済みサブ処理の組み合わせだが全文一致では未検証 / 正規イラスト表示UI確認済み","https://xross-stars.com/card/5-039","https://assets.xross-stars.com/card/BP02/BP02-039_a12da40a7117703ceabc7342da48e235.png","ready","ready","【アタックする】 / 【アタック後】このアタックを受けたリーダーと同じ色を持つ対戦相手の他のリーダーすべてに40ダメージ。"
"BP02","BP02-045/082","巡り合う二人","memoria","近似対応","medium","ordered_play+search_select","順序選択を簡略化 / 探索・選択処理を簡略化 / 正規イラスト表示UI確認済み","https://xross-stars.com/card/5-045","https://assets.xross-stars.com/card/BP02/BP02-045_3b548b3ce86be51236fb09106bc72d4b.png","ready","ready","【プレイ時】自分のデッキの上から5枚を見る。その中からコスト1以下のメモリアカード最大1枚と、コスト1以下のアタックカード最大1枚を、コストを支払わず好きな順番でプレイする。残りのカードをトラッシュに置く。（プレイしたカードの効果は、左から順番に実行する。）"
"BP02","BP02-056/082","美味しいよね","memoria","近似対応","medium","signal_2","実装済みサブ処理の組み合わせだが全文一致では未検証 / 正規イラスト表示UI確認済み","https://xross-stars.com/card/5-056","https://assets.xross-stars.com/card/BP02/BP02-056_73aa8d1c8f60136c29b309c88b4cc2cf.png","ready","ready","【アタック強化】プレイエリアにメモリアカードが3枚以上あるなら、次のアタックのダメージ+30。（メモリアカードの数は【アタック強化】を実行するときに数える。）"
"BP02","BP02-058/082","メンターの教え","memoria","近似対応","medium","signal_2","実装済みサブ処理の組み合わせだが全文一致では未検証 / 正規イラスト表示UI確認済み","https://xross-stars.com/card/5-058","https://assets.xross-stars.com/card/BP02/BP02-058_4b39c7df102fd254fcae98b8bc481d2f.png","ready","ready","【アタック強化】次のアタックのダメージ+50。 / 【アタック後】プレイエリアにメモリアカードが3枚以上あるなら、対戦相手の他のリーダー1体に20ダメージ。"
"BP02","BP02-066/082","流行語大賞","memoria","近似対応","medium","signal_6","実装済みサブ処理の組み合わせだが全文一致では未検証 / 正規イラスト表示UI確認済み","https://xross-stars.com/card/5-066","https://assets.xross-stars.com/card/BP02/BP02-066_d7be974115b22a0cc55199138352aa5f.png","ready","ready","【プレイ時】自分のリーダー1体を40回復する。カードを1枚引く。"
"BP02","BP02-068/082","Just Eat Chicken!","memoria","近似対応","medium","signal_6","実装済みサブ処理の組み合わせだが全文一致では未検証 / 正規イラスト表示UI確認済み","https://xross-stars.com/card/5-068","https://assets.xross-stars.com/card/BP02/BP02-068_5d76dc054bf27ac803e68f614119d5e6.png","ready","ready","【プレイ時】このラウンドが3ラウンド目なら、カードを1枚引く。 / 【アタック強化】次のアタックのダメージ+40。"
"BP02","BP02-069/082","換気","memoria","近似対応","medium","signal_2","実装済みサブ処理の組み合わせだが全文一致では未検証 / 正規イラスト表示UI確認済み","https://xross-stars.com/card/5-069","https://assets.xross-stars.com/card/BP02/BP02-069_e285fb836caf39d86f907a83134f7457.png","ready","ready","【アタック強化】次のアタックのダメージ+20。プレイエリアにメモリアカードが3枚以上あるなら、さらにダメージ+50。（メモリアカードの数は【アタック強化】を実行するときに数える。）"
"BP02","BP02-075/082","復活ポータル","tactics","近似対応","medium","revive_select+play_restriction_only","復帰対象選択を簡略化 / プレイ条件のみ実装・細部要検証 / 正規イラスト表示UI確認済み","https://xross-stars.com/card/5-075","https://assets.xross-stars.com/card/BP02/BP02-075_a996170d5046c25eb7bb0646e9586d56.png","ready","ready","このカードは、対戦相手よりダウンしているリーダーが多いなら、プレイできる。 / 【プレイ時】ダウンしている自分のリーダー1体を、ダウンしていない状態に戻す。そのリーダーが装備しているカードすべてを表向きにトラッシュに置く。"
"BP02","BP02-078/082","盗賊キット","tactics","近似対応","medium","signal_6","実装済みサブ処理の組み合わせだが全文一致では未検証 / 正規イラスト表示UI確認済み","https://xross-stars.com/card/5-078","https://assets.xross-stars.com/card/BP02/BP02-078_83b6dde4b27f9e7f896195a8aa2b5c94.png","ready","ready","これを装備しているリーダーは以下の能力を持つ。 / 「【アタック後】このアタックを受けたリーダーがダウンしているなら、カードを1枚引く。この効果はターンに1回しか発動しない。」"
"BP02","BP02-081/082","PPチケット","tactics","近似対応","medium","signal_4","実装済みサブ処理の組み合わせだが全文一致では未検証 / 正規イラスト表示UI確認済み","https://xross-stars.com/card/5-081","https://assets.xross-stars.com/card/BP02/BP02-081_65bbdbea96852ada3a53721f83adab28.png","ready","ready","このカードをタクティクスデッキに入れることはできない。 / 1ラウンド目のタクティクスカードを選択した後、後攻のプレイヤーはこのカードをタクティクスエリアに置く。 / 【プレイ時】PPを1回復する。"
"BP02","BP02-105/082","ビクトリーランページ","attack","近似対応","medium","signal_1","実装済みサブ処理の組み合わせだが全文一致では未検証 / 正規イラスト表示UI確認済み","https://xross-stars.com/card/5-105","https://assets.xross-stars.com/card/BP02/BP02-105_e081a719c882fa7626bf3c54b6a5196e.png","ready","ready","【アタックする】 / 【アタック後】オーバーキル40：対戦相手の他のリーダー1体に90ダメージ。（このアタックを受けたリーダーに、そのリーダーの残り体力よりも40以上大きいダメージを与えていたなら、対戦相手の他のリーダー1体に90ダメージ。）"
"BP02","BP02-106/082","三銃士","attack","近似対応","medium","replay_select","再プレイ対象選択を簡略化 / 正規イラスト表示UI確認済み","https://xross-stars.com/card/5-106","https://assets.xross-stars.com/card/BP02/BP02-106_49ecbb0d677e22c1abd4919f067d10b9.png","ready","ready","【アタックする】 / 【アタック後】プレイエリアのエース以外のコスト0のメモリアカードを最大2枚選び、プレイし直す。（選んだカードを、このカードの右側に置く。プレイしたカードの効果は、このアタックが終わってから左から順番に実行する。）"
"BP02","BP02-109/082","巡り合う二人","memoria","近似対応","medium","ordered_play+search_select","順序選択を簡略化 / 探索・選択処理を簡略化 / 正規イラスト表示UI確認済み","https://xross-stars.com/card/5-109","https://assets.xross-stars.com/card/BP02/BP02-109_0c2ebdabeaa6e9437ee365e697ebf820.png","ready","ready","【プレイ時】自分のデッキの上から5枚を見る。その中からコスト1以下のメモリアカード最大1枚と、コスト1以下のアタックカード最大1枚を、コストを支払わず好きな順番でプレイする。残りのカードをトラッシュに置く。（プレイしたカードの効果は、左から順番に実行する。）"
"BP02","BP02-112/082","流行語大賞","memoria","近似対応","medium","signal_6","実装済みサブ処理の組み合わせだが全文一致では未検証 / 正規イラスト表示UI確認済み","https://xross-stars.com/card/5-112","https://assets.xross-stars.com/card/BP02/BP02-112_93047742913ef6bc78499431150376a0.png","ready","ready","【プレイ時】自分のリーダー1体を40回復する。カードを1枚引く。"
"BP03","BP03-023/081","影と道連れ","attack","近似対応","medium","signal_1","実装済みサブ処理の組み合わせだが全文一致では未検証 / 正規イラスト表示UI確認済み","https://xross-stars.com/card/6-023","https://assets.xross-stars.com/card/BP03/BP03-023_722185042114355b20e4288dbb2440de.png","ready","ready","【アタックする】 / 【アタック後】オーバーキル10：対戦相手の他のリーダー1体に30ダメージ。（このアタックを受けたリーダーに、そのリーダーの残り体力よりも10以上大きいダメージを与えていたなら、対戦相手の他のリーダー1体に30ダメージ。）"
"BP03","BP03-027/081","仁義なき抗争","attack","近似対応","medium","random_discard","ランダム処理を簡略化 / 正規イラスト表示UI確認済み","https://xross-stars.com/card/6-027","https://assets.xross-stars.com/card/BP03/BP03-027_a62b61b16c85b7b6c1d5d3dd2fd348c8.png","ready","ready","【アタックする】手札を1枚ランダムに捨ててもよい。そうしたならダメージ+30。"
"BP03","BP03-038/081","強奪の宴","attack","近似対応","medium","signal_9","実装済みサブ処理の組み合わせだが全文一致では未検証 / 正規イラスト表示UI確認済み","https://xross-stars.com/card/6-038","https://assets.xross-stars.com/card/BP03/BP03-038_a21083c7c69a83663e5ba62dd0be5db6.png","ready","ready","【アタックする】 / 【アタック後】このアタックを受けたリーダーがダウンしているなら、カードを1枚引き、対戦相手は手札を1枚捨てる。"
"BP03","BP03-039/081","逆転の一矢","attack","近似対応","medium","signal_1","実装済みサブ処理の組み合わせだが全文一致では未検証 / 正規イラスト表示UI確認済み","https://xross-stars.com/card/6-039","https://assets.xross-stars.com/card/BP03/BP03-039_8d2d854bb31a9491cc650f8b71874ea5.png","ready","ready","【アタックする】 / 【アタック後】オーバーキル20：自分のリーダー1体を30回復する。（このアタックを受けたリーダーに、そのリーダーの残り体力よりも20以上大きいダメージを与えていたなら、自分のリーダー1体を30回復する。）"
"BP03","BP03-042/081","ブリーチングフォース","attack","近似対応","medium","signal_1+signal_4","実装済みサブ処理の組み合わせだが全文一致では未検証 / 正規イラスト表示UI確認済み","https://xross-stars.com/card/6-042","https://assets.xross-stars.com/card/BP03/BP03-042_3426fdd6502091bffe8a95f13d2236df.png","ready","ready","【アタックする】 / 【アタック後】オーバーキル20：PPを1回復する。（このアタックを受けたリーダーに、そのリーダーの残り体力よりも20以上大きいダメージを与えていたなら、PPを1回復する。）"
"BP03","BP03-045/081","メカニカルエキスパート","memoria","近似対応","medium","reequip_optional","装備付け替えを簡略化 / 正規イラスト表示UI確認済み","https://xross-stars.com/card/6-045","https://assets.xross-stars.com/card/BP03/BP03-045_ce5aa822dd2a4181f97b7bf502cca534.png","ready","ready","【プレイ時】自分のリーダーが装備しているカード1枚を、別の自分のリーダーに装備し直してもよい。（ダウンしているリーダーが装備しているカードを、装備し直してもよい。装備し直したとき、装備し直したカードは新たなカードとして扱う。） / 【アタック強化】次のアタックのダメージ+30。"
"BP03","BP03-047/081","バックステージパス","memoria","近似対応","medium","signal_20","実装済みサブ処理の組み合わせだが全文一致では未検証 / 正規イラスト表示UI確認済み","https://xross-stars.com/card/6-047","https://assets.xross-stars.com/card/BP03/BP03-047_45b53bfaaca2b240eaa8c04afe92054b.png","ready","ready","【アタック強化】次のアタックのダメージ+40。アタッカーがカードを装備しているなら、さらにダメージ+20。（装備は【アタック強化】を実行するときに確認する。）"
"BP03","BP03-052/081","参拝・乾杯・超喝采","memoria","近似対応","medium","signal_7","実装済みサブ処理の組み合わせだが全文一致では未検証 / 正規イラスト表示UI確認済み","https://xross-stars.com/card/6-052","https://assets.xross-stars.com/card/BP03/BP03-052_65d4f5b9327e959e2e028261fde74d7d.png","ready","ready","【アタック強化】次のアタックのダメージ+80。 / 【アタック後】アタッカーが青なら、対戦相手の他のリーダー1体に50ダメージ。アタッカーが黄なら、カードを2枚引く。"
"BP03","BP03-056/081","シャンパンコール！","memoria","近似対応","medium","signal_6","実装済みサブ処理の組み合わせだが全文一致では未検証 / 正規イラスト表示UI確認済み","https://xross-stars.com/card/6-056","https://assets.xross-stars.com/card/BP03/BP03-056_6728c481ea1b1739fe7054989b033a4d.png","ready","ready","【プレイ時】プレイエリアにアタックカードが1枚以上あるなら、カードを1枚引く。 / 【アタック強化】次のアタックのダメージ+40。"
"BP03","BP03-059/081","We are...!","memoria","近似対応","medium","signal_2+signal_7","実装済みサブ処理の組み合わせだが全文一致では未検証 / 正規イラスト表示UI確認済み","https://xross-stars.com/card/6-059","https://assets.xross-stars.com/card/BP03/BP03-059_0339d3c7b03337d84229f617b2d5a710.png","ready","ready","【プレイ時】プレイエリアにアタックカードが2枚以上あるなら、自分のリーダー1体を30回復し、カードを2枚引く。 / 【アタック強化】プレイエリアにメモリアカードが3枚以上あるなら、次のアタックのダメージ+70。（メモリアカードの数は【アタック強化】を実行するときに数える。）"
"BP03","BP03-064/081","引率のお兄さん","memoria","近似対応","medium","signal_6","実装済みサブ処理の組み合わせだが全文一致では未検証 / 正規イラスト表示UI確認済み","https://xross-stars.com/card/6-064","https://assets.xross-stars.com/card/BP03/BP03-064_ce8c17f494d4e7f4c9ac2feac1e69ee6.png","ready","ready","【プレイ時】プレイエリアにアタックカードが1枚以上あるなら、カードを1枚引く。 / 【アタック強化】次のアタックのダメージ+40。"
"BP03","BP03-065/081","ノブレス・オブリージュ","memoria","近似対応","medium","signal_2","実装済みサブ処理の組み合わせだが全文一致では未検証 / 正規イラスト表示UI確認済み","https://xross-stars.com/card/6-065","https://assets.xross-stars.com/card/BP03/BP03-065_e93ab0fdfd19578b89aadfc4c2e5e489.png","ready","ready","【アタック強化】次のアタックのダメージ+50。 / 【アタック後】プレイエリアにメモリアカードが3枚以上あるなら、対戦相手の他のリーダー1体に20ダメージ。"
"BP03","BP03-066/081","ジェイルブレイク","memoria","近似対応","medium","distribution_cap+damage_cap_100","ダメージ割り振りを簡略化 / 上限付き割り振りを近似 / 正規イラスト表示UI確認済み","https://xross-stars.com/card/6-066","https://assets.xross-stars.com/card/BP03/BP03-066_ce12f9814bb092fbcbef65c61b945997.png","ready","ready","【プレイ時】このターン、メモリアカードとアタックカードの効果で引いたカード1枚につき20ダメージを、対戦相手のリーダーに好きなように割り振って与える。このカードは、100ダメージまでしか割り振れない。"
"BP03","BP03-067/081","気まずい空間","memoria","近似対応","medium","signal_11","実装済みサブ処理の組み合わせだが全文一致では未検証 / 正規イラスト表示UI確認済み","https://xross-stars.com/card/6-067","https://assets.xross-stars.com/card/BP03/BP03-067_6e18485f2bbd0302dbd6a3b56894256f.png","ready","ready","【プレイ時】自分のデッキの上から3枚を見る。それらのカードをトラッシュに置く。"
"BP03","BP03-071/081","街角の芸術家","memoria","近似対応","medium","signal_2","実装済みサブ処理の組み合わせだが全文一致では未検証 / 正規イラスト表示UI確認済み","https://xross-stars.com/card/6-071","https://assets.xross-stars.com/card/BP03/BP03-071_ea2e34089300f8d048589a8cb6c8dc74.png","ready","ready","【アタック強化】プレイエリアにメモリアカードが3枚以上あるなら、次のアタックのダメージ+30。（メモリアカードの数は【アタック強化】を実行するときに数える。）"
"BP03","BP03-072/081","ストレイ・プリンセス","memoria","近似対応","medium","signal_2","実装済みサブ処理の組み合わせだが全文一致では未検証 / 正規イラスト表示UI確認済み","https://xross-stars.com/card/6-072","https://assets.xross-stars.com/card/BP03/BP03-072_60e66db5ee3db75d35e17a418c0cc4fb.png","ready","ready","【アタック強化】次のアタックのダメージ+20。プレイエリアにメモリアカードが3枚以上あるなら、さらにダメージ+50。（メモリアカードの数は【アタック強化】を実行するときに数える。）"
